__text__,kmeans_label,dbscan_label
damn actually pretty close real one future iphone look like damn android,4,-1
whats going camera bump model two camera,2,-1
camera lay suck still prefer iphone,3,-1
may please older version iphone old crazy android please bro,2,-1
guy got iphone gen two year home screen working change iphone new please give suggestion,3,-1
apple focus advertising campaign making lot money unjustly believe unlike chinese company give value money buy charger screen protector case try tempt watch headphone ipad laptop enter integrated slave system going keep making money year year bad apple apple brought prophet adam heaven,2,-1
really,2,-1
fine get come need get latest greatest every year,1,-1
consumer going cancel apple giving phone year year minimal change,1,-1
moore linda perez angela perez christopher,2,-1
bros backroom,2,-1
always think max waste time thought would good watch sport get get immediately regret big fit even back pocket like trying fit small tablet back pocket whats point dont see none pro love small fit everyehere also max seems like need use hand hold phone thats stupid wide would always advise people get whats practical useable phone,2,-1
black one please hehehe,2,-1
iphone gen,3,-1
macbook pro inch screen got damaged keyboard despite using protective sleeve time apple acceptable less two year look worse year old macbook sure people keep spending big money product,2,-1
sensible give time day unfortunately people still pay nose whatever put fool money easily parted plenty hang latest greatest matter shit latest greatest actually,2,-1
renaissanceearcandy last expensive device apple care fixing issue apple printing cash,2,-1
nice know protected kind spyware denmark,2,-1
official iphone fuck put title way probably reason channel wont successful,2,-1
million sub million view video successful,2,-1
pro max,0,0
bruce wayne secret hideout made foxx,2,-1
revolutionary design peak technological advancement,2,-1
got released new apple event,2,-1
look like iphone version ready give pro max,0,-1
video right,2,-1
iphone iphone,3,1
upgrade pro max kinda want pink one,0,-1
man respect absolutely blatant lie title past shame basic decency fucking click meat sack love,2,-1
aged really well,2,-1
exacting big let apple,2,-1
literally,2,-1
aged like fine wine,2,-1
,2,2
well spot,2,-1
people watching live event,2,-1
anyone explain buy demo iphone like video,3,-1
assignment last day,2,-1
phone case baby,2,-1
martinez larry lewis brenda jackson sharon,2,-1
jones joseph thomas donald wilson deborah,2,-1
finally actually changed something someone finally notice difference ohtside,2,-1
garcia eric clark sandra davis daniel,2,-1
wilson gary miller george martinez george,2,-1
minute video nothing new,2,-1
rodriguez jason jackson eric clark helen,2,-1
button actually simcard slot asian market,2,-1
iphone pro user still waiting apple flip fold phone probably going come another decade,2,-1
love like iphone used accidentally ran car truly loved phone love color think going option much like matte iphone apple secretive evasive time went apple store ask launch date color option omg tjey acted asked nuclear code security circling like shark insanity iphone hype plan buy iphone pro max first time ever buying pro pro mac iphone wanted detail thank hope coffee option,3,-1
look like nothing,4,-1
yur leak always wrong,2,-1
apple suck deep old deadish,2,-1
lopez gary lewis cynthia brown brenda,2,-1
martinez mark jackson edward miller amy,2,-1
anderson charles thomas maria johnson patricia,2,-1
samsung ultra best smartphone world,2,-1
harris anthony young david young daniel,2,-1
bro like vivo,2,-1
jackson deborah hall william lee margaret,2,-1
case get iphone,3,-1
,2,2
well obvious replica made china well actually made china produced apple originally apple tech guru would talk surely color design presenting almost doubt like legit iphones,2,-1
clark linda anderson carol rodriguez cynthia,2,-1
look like old camera case keeping pro max,0,-1
apple probably mad everyone know like,2,-1
bruh wtf giving vibe,2,-1
thomas george hall jessica jones robert,2,-1
iphone working much better replacing battery think previous owner might sold water damage iphone since battery look damaged took awhile get battery think model battery replacement easier connect motherboard worried motherboard might need replacement seems like much cooler new battery love phone max service phone pocket ipod wifi device especially since max small expensive screen would replace motherboard min nand flash would get motherboard icloud lock play game love use ripped library via itunes,2,-1
iphones favorite love curve edge likely buying iphone maybe touch come screen via apple app care face especially night gizmo like bright light,2,-1
iphone favorite bad iphone screen work,3,-1
one thing like buy older iphones upgrade battery,2,-1
wireless charger like like mini coat rack lol,4,-1
fucking shit,2,-1
martinez shirley robinson jason clark karen,2,-1
staying pro max,0,-1
agree tht apple ran idea,2,-1
dunno man plus premium look really feeling vertical cam setup know specific reason,2,-1
max btw typing one,2,-1
iphone look like iphone,4,-1
believe apple took calling apple intelligence mon apple watch steve gon come back beat camera back sadly happily still iphone,2,-1
look new camera wow would never guessed thankfully bought iphone since iphone thing like apple operating system,3,-1
taylor ruth garcia sarah jackson charles,2,-1
taylor amy miller gary wilson gary,2,-1
apple design,2,-1
hahaha look design boring boring boring boring hahaha,2,-1
believe new iphone camera horizontal like shooting vids vision pro,0,-1
well useless video big channel even know capture button,2,-1
case manufacturer finally understand losing huge majority market case actually cover four corner,2,-1
miller brian martinez joseph thompson robert,2,-1
miller paul martinez laura robinson anna,2,-1
upgrading put periscope lens iphone pro,0,-1
button keep talking window correct,2,-1
buset makin tipi aje yak wkwk,2,-1
slowly evolving android,2,-1
thompson michael perez daniel young gary,2,-1
ill get second hand pro iphone released,0,-1
may camera button,2,-1
perez robert hernandez melissa jackson george,2,-1
iphone get worst every year,1,-1
jones ruth martin laura rodriguez patricia,2,-1
one one done,2,-1
nothing change since iphone usb,3,-1
loving iphone plus pastel blue getting new phone maby iphone,3,-1
got pro max think good bit charging station even caught yet,0,-1
could camera button,2,-1
iphone,3,1
iphone looking like,3,-1
everytime hear word iphone get mad people stupid keep buying phone really change,2,-1
apple please want yall make ifold real design see reason upgrade pro max,0,-1
restore smart phone found phone trash,2,-1
moore christopher anderson laura jackson william,2,-1
please turn phone,2,-1
make damn phone slightly thicker battery life camera bump mon,2,-1
boring phone,2,-1
going android idc shit always bro,2,-1
nothing phone cmf,2,-1
tall enough require new different case btw covered best ever iphone case youtube dead good info anymore people pushing product,2,-1
notch longer exist upgrade,2,-1
jackson sharon lewis edward walker timothy,2,-1
iphone display ugly notch dynamic island love sony display clean iphone camera sensor sony display screen samsung hard drive,2,-1
stop making boring phone interesting,2,-1
johnson melissa hernandez kimberly wilson sarah,2,-1
thank vid work tech retail noticing people rocking black iphone recently interesting iphone showed similar design camera layout market midnight iphone maybe however feature need exciting persuade love roland london england,3,-1
johnson sarah hall robert allen paul,2,-1
rodriguez ronald taylor jennifer taylor elizabeth,2,-1
miller matthew young kimberly williams scott,2,-1
best case review might ever seen,2,-1
like someone said different,2,-1
black mate nice,2,-1
pro max always get biggest screen,0,-1
martin michael thompson elizabeth clark maria,2,-1
seems like apple decided back,2,-1
stick spigen lol,2,-1
unbox therapy awesome video keep bro,2,-1
nice sir review,2,-1
thanks video trying figure upgrade max wait fight big fanatic camera want iphone better battery max right also woman pocket suck come putting phone kind worried max wont fit,0,-1
back iphone,3,-1
really like samsung flip phone,4,-1
camera layout change stereo photography consumed vision pro,0,-1
back look like sony,4,-1
lmao obvious button shutter button camera easily shoot photo video landscape,2,-1
unbox therapy amazing video loved,2,-1
convinced apple user love design long beyond boring,2,-1
never iphone design,3,-1
something waste money absolutely hate absolutely hate atmos many apps totally pathetic use,2,-1
come time apple fingerprint unlock option,2,-1
went actually excited get point upgrading latest phone every drop barely tell difference model model understand joy,2,-1
get point either old phone still purpose functional saying someone used iphone recently bought,2,-1
someone going see end like nokia soon,2,-1
iphone line best,3,-1
hernandez angela anderson frank harris laura,2,-1
product red iphones nobody talking red iphone,2,-1
still use iphone series later,3,-1
